results_76_clust.F2S.cluster_5.list results_96_clust.S2F.cluster_30.list 3 0.01
results_96_clust.S2F.cluster_46.list results_76_clust.F2S.cluster_11.list 9 0.02
results_76_clust.F2S.cluster_22.list results_96_clust.S2F.cluster_37.list 12 0.07
results_96_clust.S2F.cluster_72.list results_76_clust.F2S.cluster_17.list 85 0.09
results_96_clust.S2F.cluster_3.list results_76_clust.F2S.cluster_60.list 25 0.06
results_96_clust.S2F.cluster_94.list results_76_clust.F2S.cluster_15.list 35 0.20
results_76_clust.F2S.cluster_18.list results_96_clust.S2F.cluster_95.list 38 0.04
results_96_clust.S2F.cluster_33.list results_76_clust.F2S.cluster_41.list 28 0.05
results_96_clust.S2F.cluster_39.list results_76_clust.F2S.cluster_52.list 30 0.04
results_96_clust.S2F.cluster_32.list results_76_clust.F2S.cluster_12.list 21 0.03
results_96_clust.S2F.cluster_27.list results_76_clust.F2S.cluster_52.list 10 0.02
results_76_clust.F2S.cluster_39.list results_96_clust.S2F.cluster_30.list 36 0.04
results_76_clust.F2S.cluster_11.list results_96_clust.S2F.cluster_30.list 35 0.05
results_76_clust.F2S.cluster_74.list results_96_clust.S2F.cluster_17.list 6 0.02
results_76_clust.F2S.cluster_65.list results_96_clust.S2F.cluster_30.list 15 0.02
results_96_clust.S2F.cluster_69.list results_76_clust.F2S.cluster_39.list 3 0.01
results_76_clust.F2S.cluster_20.list results_96_clust.S2F.cluster_95.list 20 0.02
results_96_clust.S2F.cluster_2.list results_76_clust.F2S.cluster_43.list 3 0.03
results_96_clust.S2F.cluster_15.list results_76_clust.F2S.cluster_30.list 21 0.05
results_76_clust.F2S.cluster_49.list results_96_clust.S2F.cluster_39.list 4 0.01
results_96_clust.S2F.cluster_26.list results_76_clust.F2S.cluster_60.list 14 0.03
results_96_clust.S2F.cluster_58.list results_76_clust.F2S.cluster_24.list 6 0.01
results_96_clust.S2F.cluster_37.list results_76_clust.F2S.cluster_31.list 20 0.08
results_96_clust.S2F.cluster_70.list results_76_clust.F2S.cluster_30.list 19 0.04
results_76_clust.F2S.cluster_72.list results_96_clust.S2F.cluster_48.list 31 0.08
results_76_clust.F2S.cluster_66.list results_96_clust.S2F.cluster_30.list 17 0.03
results_96_clust.S2F.cluster_55.list results_76_clust.F2S.cluster_39.list 16 0.03
results_96_clust.S2F.cluster_47.list results_76_clust.F2S.cluster_19.list 50 0.12
results_76_clust.F2S.cluster_26.list results_96_clust.S2F.cluster_12.list 36 0.15
results_96_clust.S2F.cluster_85.list results_76_clust.F2S.cluster_35.list 33 0.12
results_96_clust.S2F.cluster_35.list results_76_clust.F2S.cluster_58.list 12 0.02
results_76_clust.F2S.cluster_21.list results_96_clust.S2F.cluster_32.list 18 0.03
results_76_clust.F2S.cluster_24.list results_96_clust.S2F.cluster_95.list 37 0.04
results_96_clust.S2F.cluster_6.list results_76_clust.F2S.cluster_21.list 4 0.01
results_76_clust.F2S.cluster_28.list results_96_clust.S2F.cluster_32.list 12 0.03
results_96_clust.S2F.cluster_30.list results_76_clust.F2S.cluster_3.list 66 0.08
results_96_clust.S2F.cluster_29.list results_76_clust.F2S.cluster_12.list 10 0.02
results_76_clust.F2S.cluster_23.list results_96_clust.S2F.cluster_30.list 32 0.04
results_96_clust.S2F.cluster_91.list results_76_clust.F2S.cluster_63.list 15 0.04
171 clusters in sub-network
74 cluster pairs with 20 or more shared members
3430 cluster pairs with less than 20 and 0 or more shared members
0 cluster pairs with less than 0 shared members
'SF 95' 'FS 20' 20.0
'SF 95' 'FS 67' 20.0
'SF 93' 'FS 61' 20.0
'SF 72' 'FS 57' 20.0
'FS 6' 'SF 78' 20.0
'FS 31' 'SF 37' 20.0
'FS 23' 'SF 33' 20.0
'SF 17' 'FS 39' 21.0
'SF 15' 'FS 30' 21.0
'FS 12' 'SF 32' 21.0
'SF 68' 'FS 55' 21.0
'SF 25' 'FS 71' 22.0
'FS 60' 'SF 68' 22.0
'FS 19' 'SF 8' 22.0
'SF 72' 'FS 58' 22.0
'FS 6' 'SF 47' 22.0
'FS 3' 'SF 87' 22.0
'SF 41' 'FS 55' 22.0
'SF 17' 'FS 41' 23.0
'FS 6' 'SF 88' 23.0
